zone,landuse_class,area_sqm,area_ha,pct_share
Kozhikode City,Commercial,668300.8298123307,66.83,2.0
Kozhikode City,Green/Open,17735661.946715508,1773.57,53.15
Kozhikode City,Industrial,1179799.7834293167,117.98,3.54
Kozhikode City,Other,4877942.580243158,487.79,14.62
Kozhikode City,Residential,1539761.4641177868,153.98,4.61
Kozhikode City,Transport,184866.26183152746,18.49,0.55
Kozhikode City,Water,7180327.448464478,718.03,21.52
